time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-06 00:00:00+00:00,5,4,35,3
2025-06-07 00:00:00+00:00,9,6,6,4
2025-06-08 00:00:00+00:00,8,4,3,1
2025-06-09 00:00:00+00:00,9,5,14,2
2025-06-10 00:00:00+00:00,10,4,48,4
2025-06-11 00:00:00+00:00,6,4,41,8
2025-06-12 00:00:00+00:00,22,13,37,8
2025-06-13 00:00:00+00:00,16,14,16,4
2025-06-14 00:00:00+00:00,12,10,19,1
2025-06-15 00:00:00+00:00,16,7,38,1
2025-06-16 00:00:00+00:00,11,10,26,1
2025-06-17 00:00:00+00:00,9,6,24,3
2025-06-18 00:00:00+00:00,10,9,3,1
2025-06-19 00:00:00+00:00,5,4,14,1
